assignment,female,age,white,black,hispanic,educ,educmis,geddegree,hsdegree,english,cohabmarried,haschild,everwkd,mwearn,hhsize,hhsizemis,educmum,educmummis,educdad,educdadmis,welfarechild,welfarechildmis,health,healthmis,smoke,smokemis,alcohol,alcoholmis,everwkdy1,earnq4,earnq4mis,pworky1,pworky1mis,health12,health12mis,trainy1,trainy2,pworky2,pworky3,pworky4,earny2,earny3,earny4,health30,health48
0,0,24,0,1,0,12,0,0,1,1,0,1,0,350,2,0,12,0,12,0,1,0,1,0,1,0,4,0,0,0,0,51.92307662963867,0,2,0,0,0,26.923076629638672,86.53845977783203,65.384613037109375,63.387691497802734,238.99600219726562,265.1883239746094,2,2
1,1,18,1,0,0,8,0,1,0,1,0,0,0,0,7,0,12,0,12,0,1,0,1,0,1,0,3,0,1,308,0,21.153846740722656,0,2,0,1,0,30.769229888916016,26.923076629638672,71.15384674072266,95.60345458984375,41.870399475097656,216.8358154296875,1,2
0,1,18,0,1,0,10,0,0,0,1,0,0,0,472,2,0,12,0,12,0,1,0,1,0,0,1,0,1,0,0,0,13.461538314819336,0,3,0,1,0,0,36.53845977783203,11.538461685180664,0,52.7586555480957,11.856045722961426,3,2
1,1,17,1,0,0,10,0,0,0,1,0,0,0,0,5,0,11,0,12,0,2,0,3,0,1,0,4,0,1,175,0,65.384613037109375,0,3,0,1,1,100,32.69230651855469,15.384614944458008,285.6282653808594,71.36454772949219,18.296367645263672,2,3
1,0,21,0,0,1,12,0,0,1,0,0,0,0,0,5,0,0,1,0,1,3,0,3,0,2,0,4,0,1,13.84615421295166,0,1.923076868057251,0,3,0,1,0,44.230770111083984,96.15384674072266,100,86.73230743408203,247.79420471191406,221.14768981933594,2,2
1,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,40.38461685180664,59.61538314819336,100,116.47488403320312,230.20716857910156,671.80804443359375,2,2
1,0,21,0,1,0,13,0,0,1,1,0,0,1,0,3,0,13,0,16,0,2,0,3,0,0,1,0,1,1,434.70001220703125,0,40.38461685180664,0,2,0,1,0,100,100,100,376.660888671875,346.5643310546875,333.521728515625,3,3
0,1,21,0,1,0,10,0,1,0,1,0,1,1,0,4,0,12,0,12,0,1,0,1,0,0,1,4,0,1,13.461538314819336,0,65.384613037109375,0,2,0,0,0,0,57.69230651855469,75.77601623535156,0,139.94927978515625,225.77975463867188,1,2
0,0,17,0,1,0,11,0,0,0,1,0,0,0,0,3,0,12,0,0,1,1,0,2,0,1,0,3,0,1,156.93814086914062,0,42.48207473754883,0,1,0,1,1,54.34196472167969,69.23076629638672,100,141.2757110595703,190.16957092285156,323.9925231933594,2,2
1,0,18,1,0,0,11,0,1,0,1,1,0,0,0,5,0,16,0,12,0,2,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,80.76923370361328,100,96.15384674072266,226.90744018554688,276.2752990722656,333.8401794433594,2,2
1,1,20,1,0,0,12,0,0,1,1,0,0,0,0,3,0,11,0,12,0,1,0,2,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1
0,0,18,1,0,0,9,0,0,0,1,0,0,0,0,3,0,10,0,12,0,1,0,2,0,1,0,4,0,1,381.4725646972656,0,92.30769348144531,0,2,0,0,0,100,100,40.38461685180664,347.4309387207031,325.5982360839844,135.15359497070312,1,1
1,1,19,1,0,0,11,0,0,0,1,1,1,1,0,2,0,9,0,0,1,1,0,1,0,1,0,4,0,0,0,0,46.153846740722656,0,1,0,1,0,0,61.53845977783203,98.07691955566406,0,348.3182067871094,611.96783447265625,1,1
0,1,22,0,1,0,12,0,0,1,1,0,1,0,0,1,0,12,0,0,1,1,0,2,0,0,1,0,1,1,45.67307662963867,0,17.30769157409668,0,1,0,1,1,0,98.07691955566406,61.53845977783203,0,232.2935333251953,146.69410705566406,1,2
1,1,18,0,1,0,9,0,0,0,1,0,0,1,0,0,0,8,0,10,0,4,0,1,0,0,1,4,0,0,0,0,28.846153259277344,0,1,0,1,0,0,0,0,0,0,0,1,1
1,0,17,1,0,0,9,0,0,0,1,0,0,0,0,3,0,10,0,12,0,1,0,2,0,1,0,3,0,1,107.69230651855469,0,48.07692337036133,0,2,0,1,0,65.384613037109375,78.84615325927734,100,290.42999267578125,265.64447021484375,411.20587158203125,2,2
0,0,17,1,0,0,11,0,1,0,1,0,0,0,0,1,0,12,0,11,0,1,0,2,0,0,1,0,0,0,0,0,25,0,2,0,0,0,63.46154022216797,100,46.153846740722656,181.95663452148438,275.5205993652344,126.20635223388672,3,3
1,1,18,1,0,0,11,0,0,0,1,1,0,0,0,9,0,8,0,12,0,1,0,2,0,1,0,3,0,1,22.184616088867188,0,1.923076868057251,0,2,0,1,1,28.846153259277344,0,30.769229888916016,82.13854217529297,0,140.95521545410156,2,3
1,1,20,0,1,0,12,0,0,1,1,0,0,0,8,5,0,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,64.4250717163086,0,0,175.74356079101562,0,0,1,1
1,0,21,0,0,0,8,0,1,0,1,0,0,0,0,1,0,12,0,11,0,1,0,1,0,1,0,3,0,1,273.5983581542969,0,76.92308044433594,0,1,0,0,0,100,100,100,488.35821533203125,497.734130859375,455.6317443847656,1,2
0,0,20,0,0,1,11,0,0,0,1,0,0,0,0,2,0,12,0,7,0,2,0,1,0,2,0,4,0,1,80,0,7.692307472229004,0,1,0,0,0,90.384613037109375,5.769230842590332,48.07692337036133,225.45904541015625,13.836627960205078,135.8688201904297,1,1
1,1,20,0,1,0,11,0,0,0,1,0,1,0,0,5,0,12,0,0,1,1,0,1,0,0,1,0,1,1,61.53845977783203,0,15.384614944458008,0,2,0,1,1,100,92.30769348144531,100,209.9657745361328,359.216552734375,349.1899719238281,1,1
1,1,19,1,0,0,8,0,0,0,1,1,0,0,0,2,0,12,0,12,0,2,0,1,0,2,0,3,0,0,0,0,32.69230651855469,0,2,0,1,0,46.153846740722656,13.461538314819336,80.76923370361328,181.10769653320312,54.42471694946289,300.2374267578125,1,1
0,1,16,0,1,0,7,0,0,0,1,0,0,1,0,8,0,12,0,9,0,4,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,13.461538314819336,5.769230842590332,0,19.659542083740234,11.872512817382812,1,1
1,1,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2
1,1,21,0,0,0,11,0,0,0,1,0,0,1,0,2,0,0,1,18,0,2,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,11.538461685180664,13.461538314819336,69.23076629638672,12.53709602355957,23.941370010375977,121.89310455322266,1,2
0,0,16,0,1,0,9,0,0,0,1,0,0,0,0,5,0,12,0,12,0,3,0,2,0,1,0,0,1,1,84,0,50,0,2,0,1,1,17.30769157409668,94.23076629638672,100,52.325538635253906,249.09652709960938,396.10369873046875,2,2
1,0,22,1,0,0,10,0,0,0,1,0,0,0,0,4,0,12,0,12,0,3,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0,96.15384674072266,0,0,274.639404296875,1,1
1,0,19,0,1,0,12,0,0,1,1,0,0,0,0,2,0,12,0,10,0,2,0,1,0,0,1,3,0,0,0,0,28.846153259277344,0,2,0,0,0,0,0,78.84615325927734,0,0,248.04385375976562,2,1
1,0,17,0,0,1,9,0,0,0,0,0,0,0,8,4,0,10,0,12,0,3,0,2,0,2,0,3,0,1,154.2337188720703,0,35.57625198364258,0,2,0,1,1,54.153682708740234,30.769229888916016,15.384614944458008,150.09498596191406,76.34269714355469,41.28548049926758,1,3
1,1,16,0,1,0,10,0,0,0,1,0,1,0,0,1,0,11,0,11,0,4,0,1,0,0,1,0,1,1,157.8307647705078,0,38.46154022216797,0,1,0,1,1,13.461538314819336,19.230770111083984,3.846153736114502,16.16254997253418,40.87407302856445,8.515432357788086,2,2
1,0,19,0,0,1,12,0,0,1,0,0,0,0,0,4,0,8,0,9,0,2,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,1,60.95137023925781,73.07691955566406,98.07691955566406,193.50375366210938,252.1372833251953,261.5948486328125,1,1
0,0,20,0,0,1,12,0,0,1,1,0,0,0,0,1,0,16,0,16,0,1,0,2,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,38.46154022216797,92.30769348144531,0,286.7016296386719,602.12823486328125,2,2
1,1,20,0,1,0,10,0,1,0,1,1,1,0,0,8,0,16,0,8,0,1,0,1,0,0,1,0,1,0,0,0,63.46154022216797,0,1,0,1,0,73.07691955566406,100,100,426.9976501464844,548.12835693359375,450.7369689941406,1,1
0,1,16,0,1,0,6,0,0,0,1,0,0,0,35,2,0,11,0,12,0,4,0,3,0,2,0,0,1,0,0,0,0,0,3,0,0,0,57.69230651855469,7.692307472229004,0,142.622314453125,26.657005310058594,0,1,2
1,1,17,0,0,1,8,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,2,0,1,1,38.46154022216797,38.46154022216797,100,98.87860107421875,125.94398498535156,401.8738708496094,2,2
1,0,16,0,0,1,9,0,0,0,0,1,0,0,0,5,0,12,0,12,0,2,0,2,0,1,0,4,0,0,0,0,35.57625198364258,0,2,0,1,1,54.153682708740234,50,67.54398345947266,150.09498596191406,185.7654571533203,234.2197723388672,3,1
1,1,17,0,0,0,10,0,0,0,1,1,0,0,0,11,0,11,0,12,0,2,0,2,0,1,0,4,0,1,202.5807647705078,0,100,0,2,0,1,1,15.384614944458008,48.07692337036133,90.384613037109375,19.02659797668457,100.57262420654297,190.1925506591797,3,2
1,0,18,1,0,0,12,0,0,1,1,0,0,0,0,2,0,9,0,0,1,2,0,2,0,0,1,2,0,0,0,0,0,0,2,0,1,1,19.230770111083984,0,7.692307472229004,38.79666519165039,0,9.045723915100098,2,2
1,1,19,0,1,0,12,0,0,1,1,0,0,1,0,3,0,12,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,17.30769157409668,100,38.46154022216797,41.97170639038086,244.4967041015625,105.8441162109375,1,2
0,0,19,1,0,0,9,0,1,0,1,0,0,0,0,4,0,0,1,0,1,0,1,2,0,2,0,4,0,1,260.6153869628906,0,42.30769348144531,0,1,0,0,0,9.615385055541992,76.92308044433594,94.23076629638672,39.6173095703125,641.49444580078125,482.65399169921875,1,1
1,0,16,0,1,0,10,0,0,0,1,0,0,0,0,4,0,12,0,0,1,4,0,2,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2
0,0,16,0,1,0,9,0,0,0,1,0,0,0,0,1,0,12,0,0,1,4,0,2,0,1,0,4,0,0,0,0,0,0,2,0,1,1,34.61538314819336,36.53845977783203,28.846153259277344,87.32786560058594,337.4332580566406,147.32235717773438,1,2
1,1,17,0,1,0,10,0,0,0,1,0,0,0,0,3,0,12,0,0,1,2,0,2,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,96.15384674072266,100,0,128.9119873046875,280.5032043457031,2,3
0,0,19,0,1,0,10,0,0,0,1,0,0,1,0,2,0,12,0,0,1,2,0,1,0,0,1,0,1,1,128.39999389648438,0,73.07691955566406,0,1,0,1,0,100,82.69230651855469,88.46154022216797,132.89596557617188,111.5878677368164,184.34283447265625,2,2
0,0,16,1,0,0,9,0,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,1,0,1,0,4,0,1,82.5,0,59.61538314819336,0,2,0,1,1,100,100,100,304.6891784667969,189.31285095214844,86.41143798828125,1,1
1,1,20,0,0,0,12,0,0,1,1,0,0,0,0,4,0,16,0,16,0,2,0,2,0,1,0,4,0,0,0,0,5.769230842590332,0,2,0,1,0,0,0,0,0,0,0,2,2
1,1,16,1,0,0,9,0,0,0,1,0,0,0,0,5,0,11,0,8,0,4,0,2,0,1,0,2,0,1,165.44168090820312,0,84.615386962890625,0,4,0,1,1,32.69230651855469,7.692307472229004,9.615385055541992,37.57913589477539,15.253730773925781,19.067163467407227,2,3
