pira,nettfa,p401k,e401k,inc,incsq,marr,male,age,agesq,fsize
1,4.575,0,0,13.17,173.4489,0,0,40,1600,1
0,154,1,1,61.23,3749.113,0,1,35,1225,1
0,0,0,0,12.858,165.3282,1,0,44,1936,2
0,21.8,0,0,98.88,9777.254,1,1,44,1936,2
0,18.45,0,0,22.614,511.393,0,0,53,2809,1
0,0,0,0,15,225,1,0,60,3600,3
1,3.483,0,0,37.155,1380.494,1,0,49,2401,5
0,-2.1,0,0,31.896,1017.355,1,0,38,1444,5
1,5.29,0,0,47.295,2236.817,1,0,52,2704,2
1,29.6,0,1,29.1,846.81,0,1,45,2025,1
0,0,0,0,23.457,550.2309,1,0,61,3721,3
0,18.149,0,0,31.785,1010.286,1,0,40,1600,6
0,0.695,0,0,34.941,1220.874,1,0,48,2304,3
0,0.2,0,0,24.432,596.9226,1,0,60,3600,2
0,-4.25,0,0,25.131,631.5672,1,0,43,1849,5
0,0,0,0,19.074,363.8174,0,1,43,1849,1
0,4.15,1,1,38.772,1503.268,1,0,47,2209,2
0,-10,0,1,12.48,155.7504,1,0,27,729,2
1,122.5,0,1,45.39,2060.252,1,0,57,3249,2
1,1.6,0,0,39.861,1588.899,1,0,35,1225,2
1,40.999,1,1,102.6,10526.76,1,0,53,2809,5
0,12.175,0,0,39.579,1566.497,1,0,36,1296,4
1,8.3,0,0,40.194,1615.558,1,0,40,1600,3
1,9.687,0,0,25.254,637.7645,0,1,31,961,1
0,0.5,0,0,10.8,116.64,0,0,48,2304,2
0,0.13,0,0,27,729,0,1,42,1764,1
0,-15.495,0,0,17.856,318.8368,1,0,42,1764,5
0,0.2,1,1,38.94,1516.323,1,0,35,1225,2
1,-2.5,0,0,12.24,149.8176,0,1,32,1024,2
1,0,0,0,18,324,0,0,46,2116,2
0,-21.02,1,1,21.456,460.3599,0,0,25,625,1
0,1.4,0,0,14.025,196.7006,1,0,39,1521,5
1,-5.192,0,0,15.186,230.6146,1,1,36,1296,4
1,5.8,1,1,41.415,1715.202,1,0,34,1156,5
0,-4.25,0,0,12.966,168.1171,0,0,52,2704,2
1,63.7,0,0,58.8,3457.44,1,0,41,1681,2
0,5.899,1,1,63.849,4076.695,1,0,44,1936,5
0,59.8,1,1,47.1,2218.41,0,1,61,3721,2
1,72.225,0,0,36.072,1301.189,1,0,63,3969,3
1,69,1,1,107.64,11586.37,1,0,51,2601,2
0,19.679,0,1,58.92,3471.566,1,0,49,2401,4
