grade,sex,age,mob,bulgnationality,langbulg,mumage,mumedu,mumprof,dadage,dadedu,dadprof,material,withbothpar,withmum,withdad,withneither,oldsiblings,youngsiblings,schoolmaths,schoolrakdelsve,schoolvazov,schoolfinance,schoolvarna,schoolspanish,schooltechuni,schoolvidin,schooluni,citysofia,cityvarna,cityvidin,treatment,drinkcoffee,cupsest,devi_cupsest,impworldecon,impincome,awarewaste,awarepesticide,awaredeforestation,awarewastewater,awarebiodiversityloss,awareunfairworking,reusepurposeful,reusesoil,choiceprice,choicetastepleasure,choiceenvironsocial
10,1,16,11,1,1,42,2,2,44,2,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5e+07,49999500,5,2,1,3,1,3,1,1,1,1,6,6,6
9,1,15,5,1,1,38,2,4,44,2,4,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,600,100,2,3,2,3,2,3,1,2,2,3,2,5,1
10,1,15,12,1,1,42,2,7,45,2,7,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,200,300,3,2,1,1,2,1,3,4,1,1,6,6,6
9,1,15,4,1,1,40,3,7,43,3,7,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,500,0,3,2,2,1,2,3,4,3,2,1,6,6,6
12,0,18,6,1,1,44,2,1,44,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,400,100,5,3,1,1,3,1,4,1,1,1,1,4,3
12,0,18,2,1,1,45,2,7,42,2,7,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3,500,0,5,1,1,1,2,2,1,1,3,3,4,4,4
11,0,17,7,1,1,44,2,3,47,2,7,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1000,500,4,4,1,2,1,1,2,1,3,3,3,5,1
8,1,14,7,1,1,35,2,7,,,7,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1000,500,4,5,1,2,1,1,1,1,3,1,6,6,6
12,0,17,12,1,1,43,2,7,55,3,7,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,600,100,4,4,1,1,1,3,1,3,3,2,1,5,3
12,1,18,7,1,1,46,2,,50,3,7,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,400,100,4,5,3,3,3,3,2,4,2,2,6,6,6
12,0,18,2,1,1,48,3,2,51,3,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,700,200,4,4,2,2,2,2,2,4,2,3,5,5,3
12,1,18,4,1,1,44,2,7,45,2,7,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,350,150,4,5,2,2,3,3,2,4,1,2,2,5,2
12,1,18,6,1,1,54,3,7,52,3,7,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,600,100,4,4,2,4,2,2,3,4,3,2,6,6,6
12,0,,,1,1,43,3,2,48,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,,,5,5,3,3,3,3,3,4,3,2,3,4,2
12,0,18,8,0,1,42,3,2,58,3,7,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,730,230,4,4,2,1,2,1,2,2,2,2,3,5,4
12,0,18,8,1,1,36,3,2,46,3,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,500,0,4,4,1,3,1,1,2,3,2,2,3,4,2
12,0,17,4,1,1,53,3,7,57,3,4,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,730,230,4,2,1,1,1,1,1,1,2,2,2,5,1
12,0,17,2,1,1,44,,2,54,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,500,0,5,3,1,1,1,1,1,3,2,2,4,5,1
9,1,15,1,1,1,46,3,4,46,3,4,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,400,100,4,5,1,2,1,2,1,4,3,3,4,5,5
9,1,14,5,1,1,40,3,4,40,3,4,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,4,500,0,5,5,5,5,4,4,5,5,2,,4,5,3
9,1,15,8,1,1,40,3,2,38,3,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,250,250,5,5,3,5,4,3,2,5,2,2,6,6,6
9,1,14,12,1,1,37,3,2,42,3,1,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,,,3,4,1,1,1,1,1,3,2,1,4,4,4
9,0,14,12,1,1,42,3,2,42,3,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,400,4,4,2,3,2,1,2,3,2,2,6,6,6
9,1,15,7,1,1,43,3,,64,3,,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,500,0,4,4,3,4,4,4,2,2,2,2,2,4,5
9,0,15,9,1,1,40,3,4,42,3,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,730,230,4,5,3,3,4,4,4,3,2,2,6,6,6
9,1,15,9,1,1,,3,2,,3,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,500,0,4,2,4,5,5,4,4,3,1,1,2,4,4
9,0,14,1,1,1,41,3,2,41,3,4,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,730,230,4,5,3,3,4,4,4,3,2,2,6,6,6
9,0,14,12,1,1,39,3,7,41,3,7,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3,500,0,5,5,1,1,3,1,1,1,3,3,4,5,1
10,1,16,9,1,1,35,,4,44,,5,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,,,3,,1,1,1,1,1,1,1,3,1,5,1
10,1,16,11,1,1,,,5,54,,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,100,400,1,5,4,3,1,1,1,1,3,3,3,3,4
10,1,15,11,1,1,49,2,7,49,3,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1300,800,4,5,3,5,3,,4,5,3,3,5,6,1
12,0,17,1,1,1,41,3,7,41,3,2,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,5,1000,500,4,4,2,1,2,3,3,3,3,3,4,5,3
11,0,17,8,0,0,49,3,2,49,3,7,4,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,100,400,4,4,2,1,4,4,3,4,3,3,3,5,2
11,1,17,7,1,1,45,2,3,47,2,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,160000,159500,4,5,1,1,1,1,1,1,3,3,5,5,1
