name,genre,platform,esrbrating,publisher,year,metascore,userscore,sales
Wii Sports,Sports,Wii,E,Nintendo,2006,76,80,82.86
Mario Kart Wii,Racing,Wii,E,Nintendo,2008,82,84,37.14
PlayerUnknown's Battlegrounds,Shooter,PC,T,Other,2017,86,46,36.6
Wii Sports Resort,Sports,Wii,E,Nintendo,2009,80,81,33.09
New Super Mario Bros.,Action,Nintendo DS,E,Nintendo,2006,89,85,30.8
New Super Mario Bros. Wii,Action,Wii,E,Nintendo,2009,87,83,30.22
Minecraft,Misc,PC,,Other,2010,93,76,30.01
Wii Play,Misc,Wii,E,Nintendo,2007,58,65,28.02
Kinect Adventures!,Misc,Xbox 360,E,Microsoft,2010,61,63,24
Nintendogs,Simulation,Nintendo DS,E,Nintendo,2005,83,77,23.96
Mario Kart DS,Racing,Nintendo DS,E,Nintendo,2005,91,87,23.6
Wii Fit,Sports,Wii,E,Nintendo,2008,80,77,22.67
Wii Fit Plus,Sports,Wii,E,Nintendo,2009,80,74,21.13
Grand Theft Auto V,Action,PlayStation 3,M,RockstarGames,2013,97,83,20.32
Grand Theft Auto V,Action,PlayStation 4,M,RockstarGames,2014,97,83,19.39
Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo DS,E,Nintendo,2006,77,77,19.01
Garry's Mod,Misc,PC,,Other,2004,,,18.58
Mario Kart 7,Racing,Nintendo 3DS,E,Nintendo,2011,85,83,18.11
Pokemon Diamond / Pearl Version,RPG,Nintendo DS,E,Nintendo,2007,85,80,17.67
Grand Theft Auto: San Andreas,Action,PlayStation 2,M,RockstarGames,2004,95,90,17.3
Pokemon X/Y,RPG,Nintendo 3DS,E,Nintendo,2013,88,86,16.37
Pokemon Ruby / Sapphire Version,RPG,Game Boy Advance,E,Nintendo,2003,82,86,16.22
Grand Theft Auto: Vice City,Action,PlayStation 2,M,RockstarGames,2002,95,88,16.15
Pokemon Sun/Moon,RPG,Nintendo 3DS,E,Nintendo,2016,87,83,16.14
Grand Theft Auto V,Action,Xbox 360,M,RockstarGames,2013,97,83,15.86
Pokemon Black / White Version,RPG,Nintendo DS,E,Nintendo,2011,87,77,15.64
Call of Duty: Black Ops 3,Shooter,PlayStation 4,M,ActivisionBlizzard,2015,81,48,15.09
Mario Kart 8 Deluxe,Racing,Nintendo Switch,E,Nintendo,2017,92,86,15.02
Counter-Strike: Source,Shooter,PC,M,Other,2004,88,89,15
