survey_year,elig_year,retired,food,c,cn
1993,-17,FALSE,565.520304502988,20698.0431448094,20698.0431448094
1995,-15,FALSE,929.622418361076,31193.996705005,26029.4277141101
1993,7,TRUE,848.280456754482,33931.2182701793,33931.2182701793
1995,9,TRUE,774.68534863423,53711.5175053066,43382.3795235169
1998,-10,FALSE,1679.98264704819,82079.1521843545,71999.2563020653
2000,17,FALSE,1842.92479871092,60816.5183574605,46994.5823671286
2002,14,FALSE,1272.3,74217.5,50892
2004,-4,FALSE,1217.4,74991.84,50643.84
1993,-1,FALSE,452.41624360239,16286.984769686,16286.984769686
1995,1,FALSE,361.519829362641,26029.4277141101,26029.4277141101
1993,-2,FALSE,565.520304502988,14929.7360388789,14929.7360388789
1993,2,FALSE,452.41624360239,14516.3582448515,14516.3582448515
1995,4,FALSE,774.68534863423,19638.9115312658,19638.9115312658
1998,6,FALSE,239.997521006884,19583.7977141618,14783.8472940241
2000,10,FALSE,598.95055958105,26685.9638816217,19314.264686778
2002,-3,FALSE,508.92,22053.2,22053.2
2004,-3,FALSE,486.96,20371.16,20371.16
1993,-25,FALSE,339.312182701793,11932.478425013,11310.4060900598
1995,-23,FALSE,413.165519271589,12808.1310974193,12808.1310974193
1998,-21,FALSE,383.996033611015,21119.7818486058,10079.8958822891
1993,10,TRUE,169.656091350896,7125.55583673765,7125.55583673765
1995,10,TRUE,309.874139453692,11137.9254150979,11137.9254150979
1998,10,TRUE,383.996033611015,8639.91075624784,8639.91075624784
2000,13,TRUE,138.219359903319,9951.79391303899,9951.79391303899
2002,11,FALSE,42.41,6107.04,6107.04
1993,-9,FALSE,678.624365403585,21376.6675102129,21376.6675102129
1995,-7,FALSE,516.456899089487,17921.0543984052,17921.0543984052
1998,-7,FALSE,527.994546215146,20159.7917645783,20159.7917645783
1993,-18,FALSE,282.760152251494,15042.8400997795,15042.8400997795
1995,-16,FALSE,464.811209180538,16888.1406002262,15803.5811121383
1998,-13,FALSE,287.997025208261,23999.7521006884,15359.8413444406
2000,-11,FALSE,460.731199677731,22621.9019041766,22391.5363043377
2002,-10,FALSE,508.92,36133.32,33588.72
2004,-8,FALSE,649.28,52586.5057736176,39195.1057736176
1993,33,TRUE,395.864213152091,12271.7906077148,11423.5101509604
1995,35,TRUE,77.468534863423,16423.3293910457,16423.3293910457
1998,20,TRUE,239.997521006884,14399.8512604131,14399.8512604131
2000,42,TRUE,207.329039854979,14789.4715096552,14743.3983896874
2002,39,TRUE,127.23,5089.2,5089.2
1998,-6,FALSE,479.995042013769,19583.7977141618,19583.7977141618
2000,-4,FALSE,691.096799516596,18244.9555072381,18244.9555072381
2002,1,FALSE,424.1,19593.42,18321.12
1993,5,FALSE,508.968274052689,15721.4644651831,13572.4873080717
1995,7,FALSE,516.456899089487,31297.2880848229,23550.4345984806
1998,12,TRUE,479.995042013769,34079.6479829776,25919.7322687435
2000,11,TRUE,691.096799516596,34462.6937358943,21562.2201449178
2002,15,TRUE,678.56,31892.32,31044.12
2004,15,FALSE,649.28,18747.96,17530.56
1993,3,FALSE,1017.93654810538,28784.9834992021,22847.0203019207
1995,5,FALSE,309.874139453692,18592.4483672215,18592.4483672215
1998,9,FALSE,479.995042013769,40559.5810501635,20159.7917645783
2000,10,FALSE,691.096799516596,26169.5321416951,21562.2201449178
2002,12,FALSE,424.1,15776.52,15776.52
2004,12,FALSE,405.8,23211.76,22400.16
1993,23,TRUE,395.864213152091,29576.7119255063,29576.7119255063
1995,25,TRUE,361.519829362641,16991.4319800441,13479.5250662356
1998,28,TRUE,287.997025208261,15167.8433276351,15023.844815031
2002,31,TRUE,678.56,19593.42,19169.32
1993,-14,FALSE,565.520304502988,17644.2335004932,17644.2335004932
1995,5,FALSE,619.748278907384,20451.6932039437,20451.6932039437
1993,-22,FALSE,113.104060900598,18096.6497440956,18096.6497440956
1995,-20,FALSE,180.75991468132,17094.723359862,17094.723359862
1998,-17,FALSE,191.998016805508,15359.8413444406,15359.8413444406
2000,-15,FALSE,138.219359903319,15987.3726288173,15987.3726288173
1998,5,TRUE,287.997025208261,10271.8938990947,10271.8938990947
1993,1,FALSE,395.864213152091,13176.6230949196,13176.6230949196
1995,3,FALSE,516.456899089487,22310.9380406658,22310.9380406658
1993,-22,FALSE,565.520304502988,18746.998094274,18605.6180181483
1993,2,FALSE,678.624365403585,30707.7525345122,29859.4720777578
1995,4,FALSE,1032.91379817897,32020.3277435482,30987.4139453692
1998,7,FALSE,719.992563020653,35519.6331090189,28799.7025208261
2000,8,FALSE,1382.19359903319,40083.6143719626,38701.4207729294
1993,-12,FALSE,678.624365403585,25504.9657330848,21546.3236015638
1995,-10,FALSE,516.456899089487,27682.0897911965,27682.0897911965
1993,12,TRUE,226.208121801195,9840.05329835199,7577.97208034004
1995,27,TRUE,413.165519271589,8056.72762579599,8056.72762579599
1993,-9,FALSE,791.728426304183,12215.2385772645,12215.2385772645
1995,-7,FALSE,206.582759635795,6817.23106798122,6817.23106798122
1998,1,TRUE,575.994050416523,13247.86315958,13247.86315958
2000,3,TRUE,552.877439613277,13821.9359903319,13821.9359903319
2002,20,TRUE,339.28,12214.08,12214.08
2004,22,TRUE,405.8,12660.96,12660.96
1993,10,TRUE,735.176395853884,33987.7703006296,16173.8807087855
1995,12,TRUE,877.976728452127,39560.5984702547,39044.1415711652
1993,7,TRUE,339.312182701793,10207.6414962789,10207.6414962789
1995,8,TRUE,258.228449544743,8185.84185056836,8185.84185056836
1998,6,TRUE,239.997521006884,7487.92265541479,7487.92265541479
2000,14,TRUE,230.365599838865,9398.91647342571,9398.91647342571
2004,23,TRUE,324.64,10713.12,10713.12
1993,6,FALSE,565.520304502988,19001.4822313004,12215.2385772645
