wexpect1,wexpect2,wexpect1othersex,wexpect2othersex,male,business,econ,communi,businform,plansfull,planseduc,sectorcons,sectortradesales,sectortransware,sectorhosprest,sectorinfocom,sectorfininsur,sectorconsult,sectoreduscience,sectorhealthsocial,typegenstratman,typemarketing,typecontrol,typefinance,typesales,typetechengin,typehumanres,posmanager,age,swiss,hassiblings,motherhighedu,fatherhighedu,motherworkedfull,motherworkedpart,matwellbeing,homeowner,treatmentinformation,treatmentorder
11,14,120,150,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,20,1,0,0,0,1,0,2,1,0,0
5,16,80,90,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,0,1,1,1,0,0,2,0,0,0
6,8,150,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1,0,4,0,0,0
10,14,90,90,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,1,1,0,0,0,1,2,1,0,1
14,14,110,110,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,21,0,0,0,0,1,0,2,0,1,0
7,9,120,140,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,23,1,1,0,1,0,1,3,0,0,1
7,9,120,140,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,19,1,1,0,0,0,0,2,0,1,0
7,9,90,90,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,19,1,1,0,0,0,1,2,0,0,1
9,11,80,80,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,1,1,1,0,0,4,1,0,0
9,10,120,130,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,2,0,1,0
7,9,80,90,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,1,0,0,3,1,0,0
7,9,100,100,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,19,1,1,0,0,0,1,2,0,0,1
6,16,80,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,1,1,0,0,0,0,2,0,1,0
4.5,7,120,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,1,0,0,1,0,3,0,0,1
9,9,80,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,1,0,0,0,0,0,4,0,0,0
3,5,100,120,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,1,1,0,1,2,0,0,0
5,8,90,90,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,0,0,0,1,3,1,0,0
4,6,100,100,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,0,0,1,0,2,0,0,1
5,7,100,100,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,1,1,0,0,0,0,2,0,1,0
4,6,120,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,26,1,1,0,1,0,1,2,0,0,1
5,8,80,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26,1,1,0,0,0,0,3,1,0,0
6,7,100,100,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,0,0,1,0,0,1,0
16,16,130,150,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,21,0,0,1,0,1,0,2,1,1,0
6,8,120,80,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,23,1,1,0,1,0,1,2,0,0,1
10,12,110,120,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,1,0,0,3,0,1,0
6,14,100,130,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,1,1,0,3,0,0,1
8,10,105,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,0,0,0,0,4,0,0,0
5,8,110,120,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,0,1,3,1,0,1
10,14,120,140,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,1,1,0,0,0,0,2,0,1,0
2,9,110,110,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1,1,1,1,0,3,1,0,1
2,6,120,140,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,1,0,1,0,1,1,0,1,0
2,8,120,120,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,1,1,0,0,0,0,2,1,0,0
4,11,90,110,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,25,0,1,0,0,0,0,3,1,1,0
5,9,120,110,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,27,1,1,1,1,0,1,3,0,0,0
